comp,ivar,ipft,R2,RMSE,slope,reMSE,dNRMSE,sNRMSE,iNRMSE,f_SB,f_SDSD,f_LSC,varname,pft,var,dim,alg
biomass,1,11,0.9558748213368984,3.3716229716087454,0.9697952472660682,3.733094641548356e-05,0.0434548691715275,0.210059940643383,inf,0.0035168901968858626,0.0015439146389738053,0.9949391951641403,biomass_01,PFT11,Leaf,pft,XGBRegressor
biomass,1,12,0.8447422792633674,6.489053981250245,1.0023402238494572,0.00013135170959105972,0.06634962399532626,0.3940275634224497,inf,0.004344122605373619,0.03788232704866654,0.9577735503459598,biomass_01,PFT12,Leaf,pft,MLPRegressor
biomass,1,13,0.5258408919960363,4.878011048692404,0.4825907440694661,0.0004011498375668051,0.042256137407948424,0.6885921202017662,inf,0.0014445551928722177,0.24049726704162436,0.7580581777655033,biomass_01,PFT13,Leaf,pft,XGBRegressor
biomass,1,14,0.21886765848428436,0.7261226980421251,1.1006724571616664,0.0006608564649033127,0.03521238196709588,0.8838169162873699,inf,0.018444803086315232,0.20778997532223262,0.773765221591452,biomass_01,PFT14,Leaf,pft,MLPRegressor
biomass,1,15,0.4848339346598145,0.4162332302258853,0.6320463586037216,0.00043584269487325337,0.04738092467369128,0.7177506985995802,195.1089303304631,0.0002453973393857615,0.026715402213588656,0.9730392004470255,biomass_01,PFT15,Leaf,pft,XGBRegressor
biomass,2,2,0.9867003620869266,19.83939064326311,0.991392015660215,1.1251808725104452e-05,0.021973880437548547,0.11532405609010404,inf,0.005132125382871185,0.0002990426803860895,0.9945688319367426,biomass_02,PFT02,SapAB,pft,XGBRegressor
biomass,2,3,0.9757367615620577,16.84184836782536,0.9940442253037707,2.0527274482184657e-05,0.022513942423305143,0.15576661528691657,inf,0.0019568677458457347,0.0015503832499579669,0.9964927490041964,biomass_02,PFT03,SapAB,pft,XGBRegressor
biomass,2,4,0.9605280165007034,16.449669437745086,0.9627675046348535,3.339423307893114e-05,0.03882860313431108,0.1986755734842525,inf,9.017716385695965e-07,0.007894321582684905,0.9921047766456766,biomass_02,PFT04,SapAB,pft,BaggingRegressor
biomass,2,5,0.9880520306967485,12.579219543493616,1.005311415195767,1.0108265061972509e-05,0.014632193147099544,0.10930676696001718,inf,2.851888258528568e-06,0.010540914342488038,0.9894562337692535,biomass_02,PFT05,SapAB,pft,XGBRegressor
biomass,2,6,0.9750513451183962,24.358718265983043,0.9854339081628367,2.1107153030121696e-05,0.03387207454620888,0.15795143203403963,inf,0.0005222005093039114,0.00017684461206090863,0.9993009548786351,biomass_02,PFT06,SapAB,pft,XGBRegressor
biomass,2,7,0.9230442883547968,13.53399289462784,0.8974904064203041,6.510635502978275e-05,0.04545807790671836,0.2774089249559271,inf,0.012555092642833362,0.057884017145549874,0.9295608902116168,biomass_02,PFT07,SapAB,pft,XGBRegressor
biomass,2,8,0.96645526747593,7.6502951820580005,1.00537298533832,2.8379638345236825e-05,0.030658083006638637,0.18315221135457233,inf,0.0009248323779917153,0.014284894903581936,0.9847902727184263,biomass_02,PFT08,SapAB,pft,XGBRegressor
biomass,2,9,-0.10579605472294773,3.5898602002083466,-4.4551904954697164e-31,0.0201053828131445,0.24018831863142645,1.0515683785293983,1.3061153373674395,0.09567411121705821,0.9043258887829402,1.6540795263446905e-15,biomass_02,PFT09,SapAB,pft,NoneType
biomass,2,10,0.6830713519471907,4.536073491407859,0.9141872799039101,0.000268129143868705,0.06944750856236409,0.5629641623165806,7526.094098593978,0.004330516298839775,0.015261424002206432,0.9804080596989537,biomass_02,PFT10,SapAB,pft,BaggingRegressor
biomass,2,11,0.9470560344867255,12.492186664777702,1.0572600645822,4.4791848996002114e-05,0.02784441650591286,0.23009555735231937,inf,0.012980824978287035,0.12141028851521403,0.8656088865064989,biomass_02,PFT11,SapAB,pft,BaggingRegressor
