comp,ivar,ipft,R2,RMSE,slope,reMSE,dNRMSE,sNRMSE,iNRMSE,f_SB,f_SDSD,f_LSC,varname,pft,var,dim,alg
som,3,4,0.9999913945832823,0.7163499311105777,0.9998361203922947,6.417163846093491e-09,0.00043345147488193657,0.0029334990570326373,inf,4.150616779515246e-05,0.0029596368259258207,0.996998857006279,carbon_04,PFT04,Slow,asp,XGBRegressor
som,3,5,0.9999928015865226,1.0027581460999138,0.9998229844327265,5.3679444276095445e-09,0.00037699071990245943,0.002682985925685112,inf,0.0007131213593339586,0.004178606988986973,0.9951082716516791,carbon_05,PFT05,Slow,asp,XGBRegressor
som,3,6,0.9999732090989283,2.8980883004786575,1.0005550291561387,1.9978300575482848e-08,0.0007933746586774004,0.0051759927619464945,inf,0.0035709831414435637,0.01205143002864765,0.9843775868299088,carbon_06,PFT06,Slow,asp,XGBRegressor
som,3,7,0.9999504850754807,1.9965582478399406,1.000501495830078,3.6923881073279565e-08,0.0017271455171308432,0.007036684199199784,0.03197564590813898,0.0013333941238630857,0.005589469599087576,0.9930771362770494,carbon_07,PFT07,Slow,asp,XGBRegressor
som,3,8,0.9999515562041768,2.3482271989298265,0.9994625830176755,3.6125127384990733e-08,0.0017628394087643535,0.0069601577441371675,0.00715075227247887,0.0016121148321222869,0.005440212685812006,0.9929476724820657,carbon_08,PFT08,Slow,asp,XGBRegressor
som,3,9,0.9999715007390574,0.4126084519757629,1.00116787829426,2.1252245296517488e-08,0.001271856647463523,0.005338469906502232,inf,0.0077635649933295425,0.048966738321657426,0.9432696966850131,carbon_09,PFT09,Slow,asp,XGBRegressor
som,3,10,0.999997619850964,0.5386992575096475,0.9998057595729417,1.7749060670570979e-09,0.0002479258514225983,0.0015427731641182928,inf,0.0006284579477336093,0.015661172191136823,0.9837103698611295,carbon_10,PFT10,Slow,asp,BaggingRegressor
som,3,11,0.9999967353558306,1.6538645951115443,1.0000009259391396,2.4344848392245336e-09,0.00028818878549059513,0.001806832634584648,inf,0.0003371074047778635,2.0038534926956426e-06,0.9996608887417295,carbon_11,PFT11,Slow,asp,BaggingRegressor
som,3,12,0.9999223156553871,3.6063813965696165,0.99986380270305,5.793016003939677e-08,0.0019053736033525044,0.008813872282534566,inf,0.00013975170667921615,0.00012203231307252414,0.9997382159802483,carbon_12,PFT12,Slow,asp,XGBRegressor
som,3,13,0.9999996462603186,0.11977400721057851,0.9998350241767741,2.6378798021130104e-10,4.8656395832954775e-05,0.0005947601881963476,inf,0.0013032124454826024,0.07678880572102297,0.9219079818334945,carbon_13,PFT13,Slow,asp,BaggingRegressor
