comp,var,ind,R2,RMSE,slope,reMSE,dNRMSE,sNRMSE,iNRMSE,f_SB,f_SDSD,f_LSC,alg
biomass,biomass_07,11,0.7191144576070995,0.5956040252979969,0.8028955344585226,0.0004720765418368076,0.13433262753426536,0.5299863605725157,0.2884655822846182,0.006737926488831218,0.012549046061325694,0.9807130274498431,Pipeline
biomass,biomass_07,12,0.7436068534210641,0.5706492520737871,0.7885614265480061,0.0004309128513931695,0.11144985221929929,0.5063527886552377,1.0251090844028918,0.00555679777866772,0.03007307671329979,0.9643701255080325,Pipeline
biomass,biomass_07,13,0.7221527506788157,0.727723142458912,0.7763504119076362,0.00046697016692636014,0.1067986442201312,0.5271121790674015,13.323835733513986,0.006574087868494516,0.028931950786495755,0.9644939613450099,Pipeline
biomass,biomass_07,14,0.8303691067007823,0.24562925945215316,0.899494935061804,0.0002850939383180128,0.08120405521937567,0.411862711712553,0.27464835207124694,0.0013300963197612871,0.001495851775918068,0.9971740519043206,Pipeline
biomass,biomass_07,15,0.8715185572623275,0.15590238517735425,0.8295844081837603,0.00021593519787844112,0.037269619792251935,0.35844308158712235,inf,1.5149850436947142e-05,0.09851427488869258,0.9014705752608705,Pipeline
biomass,biomass_07_n,2,0.7239149414834583,0.17714807831073331,0.8280302618203879,0.00046400850170847345,0.12477335489960961,0.5254379682860211,0.3441937630671973,0.0016378111998848015,0.004375724555432965,0.9939864642446824,Pipeline
biomass,biomass_07_n,3,0.6232009749113357,0.05423747647921744,0.7129365643771651,0.0006332756724179232,0.11580822532456418,0.6138395760202043,0.9605405251014029,0.0066544413080157315,0.029528153353718424,0.9638174053382659,Pipeline
biomass,biomass_07_n,4,0.7189751267445801,0.11241200812402398,0.808858218195747,0.0004723107113536468,0.08907448051518511,0.530117791868392,0.5375034845938473,0.03702008760893468,0.011758136779638271,0.9512217756114271,Pipeline
biomass,biomass_07_n,5,0.7338518797111839,0.17624177796388224,0.7753065902248125,0.00044730776519128764,0.09373735805621124,0.5158954548053473,0.4794566451605978,0.0032839346480998594,0.03515974529478578,0.9615563200571143,Pipeline
biomass,biomass_07_n,6,0.3449739370842827,0.01447021644385125,0.5221297986060635,0.0011008841393541468,0.06621002482570192,0.8093368043748642,inf,0.0010466401363254467,0.04114964212162204,0.9578037177420525,Pipeline
biomass,biomass_07_n,7,0.43085135128597396,0.07914402494370235,0.9594458600281591,0.0009565523507798757,0.10271135870681324,0.7544194116763077,2.3872418646453926,0.053775364315091334,0.07546255113428336,0.8707620845506252,Pipeline
biomass,biomass_07_n,8,0.487837551883464,0.0003900222193172182,0.9931004552622181,0.0008607772237252707,0.04105056331801243,0.7156552578696925,inf,0.011275279416351569,0.09598073938220843,0.89274398120144,Pipeline
