comp,var,ind,R2,RMSE,slope,reMSE,dNRMSE,sNRMSE,iNRMSE,f_SB,f_SDSD,f_LSC,alg
biomass,biomass_07_p,8,0.17880402279797059,3.138603340898373e-05,0.996373977653745,0.0013801613062218983,0.04129292859450227,0.9061986411389222,inf,0.010693587814880128,0.143736403676869,0.8455700085082509,Pipeline
biomass,biomass_07_p,9,-0.34505876269491553,0.00024042234946429508,0.7954119404642438,0.0022606029625124634,0.07294930473090708,1.1597666845943262,inf,0.008226711969021524,0.11156507387258317,0.8802082141583953,Pipeline
biomass,biomass_07_p,10,0.6712079371918198,0.001962237074431375,0.6825006432611691,0.0005525917021986221,0.08815294683461589,0.5734039263975964,2.9528602519820293,3.1489755174385618e-06,0.08488157359571934,0.9151152774287633,Pipeline
biomass,biomass_07_p,11,0.6720930731654317,0.0015447644629182516,0.7259818663426537,0.0005511040787135604,0.13693433134011893,0.5726315803678386,0.3341470619158645,0.00783120875824834,0.04271716867692804,0.9494516225648237,Pipeline
biomass,biomass_07_p,12,0.7903042678580383,0.0011971282783875404,0.7933231925463324,0.0003524298019192635,0.08932595521519437,0.457925465705896,0.9732697224092388,0.007126574080703922,0.05609589012880727,0.9367775357904887,Pipeline
biomass,biomass_07_p,13,0.6994486221304472,0.001323352068329648,0.7967723894623552,0.0005051283661673156,0.10310796158670872,0.54822566327157,11.594710000853313,0.006070319866883577,0.010211266525533459,0.983718413607583,Pipeline
biomass,biomass_07_p,14,0.8044117967525068,0.0008138008411695055,0.900380532561453,0.00032871966932351794,0.06998747200816305,0.442253550859112,0.33859355560511223,0.013579422948367987,5.1000605877920716e-05,0.986369576445754,Pipeline
biomass,biomass_07_p,15,0.8377322039044225,0.0005782272151431065,0.8859828690118077,0.0002727189850345841,0.03842790798178446,0.4028247709557811,inf,0.0010219154112244481,0.006927691534205084,0.9920503930545704,Pipeline
biomass,biomass_08,2,0.42943925091736146,14.58905102917854,0.768642753353439,0.000958925628710317,0.07224852451510519,0.7553547173895444,inf,0.0012243669153283285,0.004777708983191497,0.9939979241014801,Pipeline
biomass,biomass_08,3,0.7947319527025867,43.28454491506302,0.8540517137726409,0.0003449883147855685,0.10043069122242432,0.4530651689298277,0.26583469313219205,0.007159818475999887,0.009893453730524008,0.982946727793476,Pipeline
biomass,biomass_08,4,0.856566499706175,40.17171180151028,0.9692137647071213,0.00024106470637617642,0.11140695163932615,0.37872615475277777,0.561708599758253,0.045405415514881454,0.009539362071969199,0.9450552224131494,Pipeline
biomass,biomass_08,5,0.6649539453287577,13.999306148860601,0.7342033977217978,0.0005631026128928441,0.1557826607538454,0.578831628948559,0.8589196315092931,3.467452261804454e-05,0.032065932501196555,0.9678993929761854,Pipeline
biomass,biomass_08,6,0.8161703909323401,22.758685265974425,0.8520422271162038,0.0003089573261641341,0.09395419376049442,0.42875355283386263,0.46598120233301726,0.02637249084458182,0.01976922970331989,0.9538582794520982,Pipeline
biomass,biomass_08,7,0.7547060308869609,31.390478645476446,0.9517507877394391,0.0004122587716185532,0.1299517193624348,0.4952716114548048,1.1464533217948543,0.043530209302842876,0.018205594666413197,0.938264196030744,Pipeline
biomass,biomass_08,8,0.6157048246209491,19.57168132049524,0.8514113287082276,0.0006458742443345393,0.1538136402744143,0.6199154582514061,5.275063357291565,0.0019244730172153504,0.004654866351413587,0.9934206606313711,Pipeline
